date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:19	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/robots.txt		(from )
00:08:19	1324/1324	---M-Z	200	added ('OK')	text/html	etag:%2206a93b0e2ca3b485b5f4aefa497cc4a9-ssl-df%22	https://vazadinhosfamosaas.netlify.app/	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/index.html	(from )
00:08:19	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/vite.svg	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/vite.0.delayed	(from https://vazadinhosfamosaas.netlify.app/)
00:08:20	165191/165191	---MCZ	200	added ('OK')	application/javascript	etag:%22c45d4b71e1ed9a0c9a0fc58d9d4ffeeb-ssl-df%22	https://vazadinhosfamosaas.netlify.app/js/index-Dq1s-n05.js	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/js/index-Dq1s-n05.js	(from https://vazadinhosfamosaas.netlify.app/)
00:08:20	17548/17548	---MCZ	200	added ('OK')	text/css	etag:%22c8e823df2896daaa56e6c485c5291265-ssl-df%22	https://vazadinhosfamosaas.netlify.app/css/index-JeHf74JQ.css	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/css/index-JeHf74JQ.css	(from https://vazadinhosfamosaas.netlify.app/)
00:08:21	302090/302090	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2024%20Jul%202025%2003:08:22%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/jotar/Desktop/VAZADOS/connect.facebook.net/en_US/fbevents.js	(from https://vazadinhosfamosaas.netlify.app/)
00:08:21	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/a	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/a.4.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:22	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/POST	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/POST.5.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:22	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/schema.org/	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:22	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/b.resolvedLink	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/b.6.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:23	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/d	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/d.7.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:23	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/signals/iwl.js	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/signals/iwl.8.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:23	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/c.dl	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/c.9.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:08:24	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1753055808-ssl-df	https://vazadinhosfamosaas.netlify.app/c.rl	C:/Users/jotar/Desktop/VAZADOS/vazadinhosfamosaas.netlify.app/c.a.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
